בקושי,בקושי
גם,גם
הפעם,הפעם
לא,לא
שלא,שלא
רק,רק
עכשיו,עכשיו
בגדול,בגדול
עתה,עתה
כיצד,כיצד
כבר,כבר
אתמול,אתמול
תת,תת
כן,כן
שלשום,שלשום
היום,היום
מיד,מייד
שם,שם
קשה,קשה
עוד,עוד
אמש,אמש
בעיקר,בעיקר
בלבד,בלבד
כך,כך
דווקא,דווקא
מה,מה
יותר,יותר
בעצם,בעצם
האם,האם
במקרה,במקרה
פתאום,פתאום
בוודאי,בוודאי
היכן,היכן
אז,אז
לחלוטין,לחלוטין
לעולם,לעולם
לפחות,לפחות
מדוע,מדוע
בהכרח,בהכרח
כמובן,כמובן
לעתים,לעתים
ימינה,ימינה
בכלל,בכלל
עדיין,עדיין
הכי,הכי
ממש,ממש
אולי,אולי
אי,אי
קודם,קודם
אכן,אכן
למדי,למדי
מי,מי
הנה,הנה
אפוא,אפוא
כאן,כאן
מאוד,מאוד
בשעתו,בשעתו
בלתי,בלתי
ביותר,ביותר
בדיוק,בדיוק
שוב,שוב
מעולם,מעולם
כמעט,כמעט
החוצה,החוצה
פעם,פעם
אמנם,אמנם
תיכף,תיכף
למעשה,למעשה
למפרע,למפרע
די,די
פחות,פחות
בפרט,בפרט
דו,דו
במפורש,במפורש
פנימה,פנימה
תמיד,תמיד
בינתיים,בינתיים
כעת,כעת
מחר,מחר
אחרת,אחרת
טרם,טרם
כיום,כיום
בין,בין
מאז,מאז
לפעמים,לפעמים
הרחק,הרחק
מעט,מעט
באחרונה,באחרונה
מזמן,מזמן
עודו,עוד
אישית,אישית
הרמטית,הרמטית
לרבות,לרבות
למה,למה
כ,כ
פשוט,פשוט
כה,כה
סתם,סתם
מיותמים,מיותם
מתי,מתי
כהנה,כהנה
חבל,חבל
בהחלט,בהחלט
לגמרי,לגמרי
הרבה,הרבה
איך,איך
מסביב,מסביב
אנטי,אנטי
למחרת,למחרת
יחד,יחד
כנראה,כנראה
נו,נו
ביחד,ביחד
קדימה,קדימה
מהר,מהר
מאוחר,מאוחר
דאז,דאז
לכאורה,לכאורה
בעינה,בעין
היטב,היטב
יחסית,יחסית
אין,אין
בטח,בטח
לעיתים,לעתים
בעליל,בעליל
למצער,למצער
לטינו,לטינו
קלות,קלות
מדי,מדי
טוב,טוב
השנה,השנה
לבסוף,לבסוף
מעתה,מעתה
באמת,באמת
ודאי,ודאי
לאחרונה,לאחרונה
במיוחד,במיוחד
רשמית,רשמית
רבות,רבות
ישר,ישר
פוסט,פוסט
נאו,נאו
נון,נון
מהרה,במהרה
לאחור,לאחור
לשוכרה,שכר
איפה,איפה
קצת,קצת
פה,פה
במעט,במעט
קדם,קדם
כרגע,כרגע
כלל,כלל
השבוע,השבוע
הלאה,הלאה
ממול,ממול
למעלה,למעלה
כביכול,כביכול
ארצה,ארצה
בדיעבד,בדיעבד
מחדש,מחדש
תחילה,תחילה
הערב,הערב
כליל,כליל
דיה,די
פי,פי
לפנים,לפנים
בערך,בערך
בל,בל
לסירוגין,לסירוגין
לשעבר,לשעבר
מראש,מראש
איזו,איזה
הצדה,הצדה
לראשונה,לראשונה
מחרתיים,מחרתיים
השבת,השבת
העונה,העונה
זמנית,זמנית
נכון,נכון
מאד,מאוד
אשתקד,אשתקד
מפורשות,מפורשות
בפירוש,בפירוש
אוי,אוי
אקס,אקס
כאמור,כאמור
יחדיו,יחדיו
חד,חד
לעיל,לעיל
להיפך,להיפך
בקרוב,בקרוב
אפילו,אפילו
לחילופין,לחלופין
חינם,חינם
סופית,סופית
מקומית,מקומית
שילשום,שלשום
אומנם,אומנם
בתחילה,בתחילה
בחשאי,בחשאי
לאלתר,לאלתר
ריאלית,ריאלית
לאשורם,לאשורם
במישרין,במישרין
מערבה,מערבה
בזמנו,בזמנו
ראשית,ראשית
שנית,שנית
ישירות,ישירות
לבדו,לבד
בלעדית,בלעדית
במקביל,במקביל
במרוכז,במרוכז
קשות,קשות
בהתאם,בהתאם
לבד,לבד
באין,באין
שטוחות,שטוחות
תיאורטית,תיאורטית
חזק,חזק
פעמיים,פעמיים
לאן,לאן
בכדי,בכדי
הן,הן
מספיק,מספיק
בעצלתיים,בעצלתיים
בהקדם,בהקדם
כרגיל,כרגיל
חוץ,חוץ
בעקיפין,בעקיפין
החודש,החודש
להלן,להלן
כולי,כול
נחרצות,נחרצות
הביתה,הביתה
לאיטה,לאט
מנין,מנין
אילך,אילך
מלכתחילה,מלכתחילה
דמו,דמו
משמעית,משמעי
תלת,תלת
סביב,סביב
יפה,יפה
חלק,חלק
היישר,היישר
מיני,מיני
גיאו,גיא
בראשית,בראשית
שבעתיים,שבעתיים
לתמיד,לתמיד
לעולמים,לעולמים
במהרה,במהרה
עודן,עוד
למהדרין,למהדרין
בהרבה,בהרבה
מאחור,מאחור
בנוסף,בנוסף
בסוף,בסוף
מוקדם,מוקדם
מעלה,מעלה
לפתע,לפתע
צפונית,צפונית
פרו,פרו
עקרונית,עקרונית
בראש,בראש
בראשונה,בראשונה
חלקית,חלקית
אזי,אזי
ממילא,ממילא
משם,משם
לעומק,לעומק
אכפת,אכפת
הבוקר,הבוקר
רה,רה
בערנות,בערנות
מלמטה,מלמטה
לבדה,לבד
באקראי,באקראי
לשווא,לשווא
מולטי,מולטי
בפומבי,בפומבי
מקרוב,מקרוב
ספציפית,ספציפית
ארוכות,ארוכות
וודאי,ודאי
מייד,מייד
שמאלה,שמאלה
הצידה,הצידה
אחורה,אחורה
כהלכה,כהלכה
